id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
14500,14937,Gyrano Kerk,Gyrano,Kerk,Gyrano Kerk,gyrano-kerk,29,175,68,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/gyrano-kerk,1048,-1,Midfielder,0,0,0,817891200,Netherlands,eu,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,-1,-1,-1,-1,1754846100,
637998,14937,Senne Lammens,Senne,Lammens,Senne Lammens,senne-lammens,23,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/senne-lammens,1048,-1,Goalkeeper,180,180,0,1026025200,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,11,1754846100,
149878,14937,Daam Wonnebald Foulon,Daam Wonnebald,Foulon,Daam Foulon,daam-foulon,26,180,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/daam-foulon,1048,-1,Defender,180,180,0,922176000,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,-1,0.5,0.5,0,0,0,0,0,1,90,0,0,0,90,0,180,0,-1,-1,-1,13,1754846100,
900623,14937,Rosen Petkov Bozhinov,Rosen,Petkov Bozhinov,Rosen Petkov Bozhinov,rosen-petkov-bozhinov,20,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/bulgaria/rosen-petkov-bozhinov,1048,-1,Defender,180,180,0,1106467200,Bulgaria,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,18,1754846100,
846554,14937,Andreas Verstraeten,Andreas,Verstraeten,Andreas Verstraeten,andreas-verstraeten,19,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/andreas-verstraeten,1048,-1,Defender,180,180,0,1136880000,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,17,1753469100,
18345,14937,Dennis Praet,Dennis,Praet,Dennis Praet,dennis-praet,31,181,78,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/dennis-praet,1048,-1,Midfielder,90,90,0,768898800,Belgium,eu,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,45,0,0,0,-1,-1,-1,16,1754846100,
709187,14937,Zeno Van Den Bosch,Zeno,Van Den Bosch,Zeno Van Den Bosch,zeno-van-den-bosch,22,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/zeno-van-den-bosch,1048,-1,Defender,180,180,0,1057474800,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,1,1,0,90,180,0,0.5,-1,-1,-1,15,1754846100,
860210,14937,Mahamadou Doumbia,Mahamadou,Doumbia,Mahamadou Doumbia,mahamadou-doumbia,21,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/mali/mahamadou-doumbia,1048,-1,Midfielder,90,90,0,1084604400,Mali,eu,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,100,1,0,1,0,1,0,90,1,90,1,1,0,45,90,0,1,-1,-1,-1,1,1754846100,
606587,14937,Thibo Somers,Thibo,Somers,Thibo Somers,thibo-somers,26,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/thibo-somers,1048,-1,Midfielder,180,180,0,921571200,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,14,1754846100,
681827,14937,Michel Ange Balikwisha,Michel Ange,Balikwisha,Michel Ange Balikwisha,michel-ange-balikwisha,24,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/michel-ange-balikwisha,1048,-1,Forward,90,90,0,989478000,Belgium,eu,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,100,1,0,1,0,1,0,90,1,90,0,0,0,45,0,0,0,-1,-1,-1,3,1754846100,
3156,14937,Vincent Janssen,Vincent,Janssen,Vincent Janssen,vincent-janssen,31,180,79,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/vincent-janssen,1048,-1,Forward,90,90,0,771663600,Netherlands,eu,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,1,0,1,0,90,1,90,1,1,0,45,90,0,1,-1,-1,-1,2,1754846100,
946775,14937,David Gabriel Jesus,David,Gabriel Jesus,David Gabriel Jesus,david-gabriel-jesus,18,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/nigeria/david-gabriel-jesus,1048,-1,Forward,180,180,0,1167724800,Nigeria,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,12,0,
906080,14937,Mauricio Leonel Benítez,Mauricio Leonel,Benítez,Mauricio Leonel Benítez,mauricio-leonel-benitez,21,185,82,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/argentina/mauricio-leonel-benitez,1048,-1,Midfielder,180,180,0,1075795200,Argentina,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,4,0,
14815,14937,Glenn Bijl,Glenn,Bijl,Glenn Bijl,glenn-bijl,30,179,76,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/glenn-bijl,1048,-1,Defender,180,180,0,805618800,Netherlands,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,10,0,
813945,14937,Kobe Corbanie,Kobe,Corbanie,Kobe Corbanie,kobe-corbanie,20,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/kobe-corbanie,1048,-1,Defender,90,90,0,1115708400,Belgium,eu,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,9,0,
766277,14937,Muhammadali O'rinboyev,Muhammadali,O'rinboyev,Muhammadali O'rinboyev,muhammadali-orinboyev,20,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/uzbekistan/muhammadali-orinboyev,1048,-1,Forward,180,180,0,1114326000,Uzbekistan,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,8,0,
846555,14937,Semm Renders,Semm,Renders,Semm Renders,semm-renders,0,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/semm-renders,1048,-1,Defender,180,180,0,0,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,7,0,
853634,14937,Youssef Hamdaoui,Youssef,Hamdaoui,Youssef Hamdaoui,youssef-hamdaoui,17,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/morocco/youssef-hamdaoui,1048,-1,Midfielder,180,180,0,1205996400,Morocco,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,6,0,
21480,14937,Yannick Thoelen,Yannick,Thoelen,Yannick Thoelen,yannick-thoelen,35,188,81,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/belgium/yannick-thoelen,1048,-1,Goalkeeper,180,180,0,648284400,Belgium,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,5,0,
927452,14937,,,,,,0,0,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players//,1048,-1,Midfielder,180,180,0,0,,eu,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,1,1,0,90,180,0,0.5,-1,-1,-1,19,0,
807302,14937,Kevin José Rodríguez Cortez,Kevin José,Rodríguez Cortez,Kevin Rodríguez,kevin-rodriguez,25,190,0,Pro League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/ecuador/kevin-rodriguez,2572,-1,Midfielder,0,0,0,952156800,Ecuador,eu,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754765100,
