id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
17406,14932,Brice Samba,Brice,Samba,Brice Samba,brice-samba,31,187,79,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/brice-samba,442,-1,Goalkeeper,90,90,0,767257200,France,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,1,1755283500,
8417,14932,Seko Fofana,Seko,Fofana,Seko Fofana,seko-fofana,30,185,74,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/ivory-coast/seko-fofana,442,-1,Midfielder,0,0,0,799830000,Ivory Coast,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755283500,
709870,14932,Quentin Merlin,Quentin,Merlin,Quentin Merlin,quentin-merlin,23,173,70,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/quentin-merlin,442,-1,Midfielder,90,90,0,1021532400,France,eu,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-1,1,1,0,100,0,0,0,0,0,0,0,0,90,0,90,0,-1,-1,-1,2,1755283500,
681366,14932,Anthony Rouault,Anthony,Rouault,Anthony Rouault,anthony-rouault,24,186,0,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/anthony-rouault,442,-1,Defender,90,90,0,991119600,France,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,3,1755283500,
686788,14932,Fabian Rieder,Fabian,Rieder,Fabian Rieder,fabian-rieder,23,173,75,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/switzerland/fabian-rieder,442,-1,Midfielder,0,0,0,1013846400,Switzerland,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755283500,
942166,14932,Abdelhamid Aït Boudlal,Abdelhamid,Aït Boudlal,Abdelhamid Aït Boudlal,abdelhamid-ait-boudlal,19,190,78,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/morocco/abdelhamid-ait-boudlal,442,-1,Defender,31,31,0,1145170800,Morocco,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,2,1,1,31,16,0,5.81,-1,-1,-1,4,1755283500,
17270,14932,Valentin Rongier,Valentin,Rongier,Valentin Rongier,valentin-rongier,30,172,66,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/valentin-rongier,442,-1,Midfielder,90,90,0,786787200,France,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,1,1,0,90,90,0,1,-1,-1,-1,5,1755283500,
170270,14932,Moussa Al Tamari,Moussa,Al Tamari,Moussa Al Tamari,moussa-al-tamari,28,175,70,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/jordan/moussa-al-tamari,442,-1,Defender,0,0,0,865926000,Jordan,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1755283500,
46609,14932,Przemysław Frankowski,Przemysław,Frankowski,Przemysław Frankowski,przemyslaw-frankowski,30,175,70,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/poland/przemyslaw-frankowski,442,-1,Midfielder,0,0,0,797670000,Poland,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755283500,
828438,14932,Jérémy Jacquet,Jérémy,Jacquet,Jérémy Jacquet,jeremy-jacquet,20,0,0,Ligue 1,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/jeremy-jacquet,442,-1,Defender,90,90,0,1121238000,France,eu,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,6,1755283500,
