id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
111310,14069,Pyeong-Gook Yoon,Pyeong-Gook,Yoon,Pyeong-Gook Yoon,pyeong-gook-yoon,33,189,85,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/pyeong-gook-yoon,3835,-1,Goalkeeper,810,360,450,697536000,South Korea,as,9,4,5,0,0,0,0,0,0,9,3,6,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,200,207,36,14,1739592000,
111835,14069,Min-Kwang Jeon,Min-Kwang,Jeon,Min-Kwang Jeon,min-kwang-jeon,32,186,73,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/min-kwang-jeon,3835,-1,Forward,2250,1080,1170,727257600,South Korea,as,26,13,13,0,0,0,5,3,8,25,10,15,0,0,0,0,0,-1,0,0,0,31,0,0,0,1,90,3,3,0,87,750,0,0.12,259,273,-1,26,1755252000,
712661,14069,Tae-Seok Lee,Tae-Seok,Lee,Tae-Seok Lee,tae-seok-lee,23,174,70,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/tae-seok-lee,3835,-1,Defender,1907,1007,900,1027839600,South Korea,as,22,12,10,1,0,1,4,2,6,22,12,10,3,1,2,0,0,-1,0.19,0.14,0.05,27,0,0.1,1907,1.04,87,5,5,0,87,381,636,0.24,113,60,43,7,1753180200,
761631,14069,Dong-Hee Lee,Dong-Hee,Lee,Dong-Hee Lee,dong-hee-lee,25,186,82,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/dong-hee-lee,3835,-1,Defender,990,540,450,949910400,South Korea,as,11,6,5,0,0,0,2,2,4,15,9,6,0,0,0,0,0,-1,0,0,0,36,0,0,0,1.36,66,2,2,0,90,495,0,0.18,231,236,81,33,1753610400,
111163,14069,Kwang-Hoon Shin,Kwang-Hoon,Shin,Kwang-Hoon Shin,kwang-hoon-shin,38,178,76,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/kwang-hoon-shin,3835,-1,Defender,1186,575,611,543052800,South Korea,as,25,13,12,0,0,0,5,3,8,11,3,8,1,1,0,0,0,-1,0.08,0.08,0,32,0,0,0,0.83,108,2,2,0,47,593,1186,0.15,232,107,14,32,1755252000,
721574,14069,Oberdan Alionco de Lima,Oberdan,Alionco de Lima,Oberdan Alionco de Lima,oberdan-alionco-de-lima,34,175,69,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/brazil/oberdan-alionco-de-lima,3835,-1,Midfielder,1958,856,1102,680857200,Brazil,as,23,10,13,6,2,4,5,3,8,17,5,12,0,0,0,0,0,-1,0.28,0,0.28,35,0.21,0.33,326,0.78,115,5,4,1,85,392,0,0.23,31,237,-1,2,1755252000,
111177,14069,Jong-Woo Kim,Jong-Woo,Kim,Jong-Woo Kim,jong-woo-kim,31,180,73,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/jong-woo-kim,3835,-1,Midfielder,428,192,236,749458800,South Korea,as,8,3,5,0,0,0,1,0,1,6,2,4,0,0,0,0,0,-1,0,0,0,13,0,0,0,1.26,71,1,1,0,54,428,0,0.21,233,238,-1,31,1743847200,
125571,14069,Paulo Afonso da Rocha Júnior,Paulo Afonso,da Rocha Júnior,Paulo Afonso da Rocha Júnior,paulo-afonso-da-rocha-junior,27,175,65,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/brazil/paulo-afonso-da-rocha-junior,3835,-1,Midfielder,945,495,450,878716800,Brazil,as,17,8,9,0,0,0,3,2,5,6,2,4,1,0,1,0,0,-1,0.1,0.1,0,28,0,0,0,0.57,158,1,1,0,56,945,945,0.1,234,86,-1,30,1751191200,
25583,14069,Wanderson Carvalho Oliveira,Wanderson,Carvalho Oliveira,Wanderson Carvalho Oliveira,wanderson-carvalho-oliveira,36,0,0,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/brazil/wanderson-carvalho-oliveira,3835,-1,Defender,122,90,32,607334400,Brazil,as,2,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,2.21,41,0,0,0,61,0,0,0,-1,-1,-1,29,1739592000,
667531,14069,Jae-joon An,Jae-joon,An,Jae-joon An,jae-joon-an,24,180,0,K League 1,Domestic League,2025,2025,2025,0,https://footystats.org/players/south-korea/jae-joon-an,3835,-1,Forward,544,274,270,987145200,South Korea,as,7,4,3,0,0,0,1,0,1,11,7,4,0,0,0,0,0,-1,0,0,0,14,0,0,0,1.82,49,0,0,0,78,0,0,0,235,239,-1,28,1739592000,
