id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
700810,14956,Yaser Esneider Asprilla Martínez,Yaser Esneider,Asprilla Martínez,Yaser Esneider Asprilla Martínez,yaser-esneider-asprilla-martinez,21,182,77,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/colombia/yaser-esneider-asprilla-martinez,312,-1,Midfielder,0,0,0,1069228800,Colombia,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755277200,
752285,14956,Joel Roca Casals,Joel,Roca Casals,Joel Roca,joel-roca,20,0,0,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/joel-roca,312,-1,Midfielder,90,90,0,1118127600,Spain,eu,1,1,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,-1,1,0,1,0,1,0,90,3,30,0,0,0,90,0,0,0,-1,-1,-1,1,1755277200,
759833,14956,Jhon Elmer Solis Romero,Jhon Elmer,Solis Romero,Jhon Solís,jhon-solis,20,189,80,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/colombia/jhon-solis,312,-1,Forward,90,90,0,1096786800,Colombia,eu,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,30,0,0,0,90,0,0,0,-1,-1,-1,2,1755277200,
687728,14956,Arnau Martínez López,Arnau,Martínez López,Arnau Martinez,arnau-martinez,22,182,75,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/arnau-martinez,312,-1,Defender,0,0,0,1051254000,Spain,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755277200,
3011,14956,Viktor Tsygankov,Viktor,Tsygankov,Viktor Tsygankov,viktor-tsygankov,27,178,73,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/ukraine/viktor-tsygankov,312,-1,Forward,90,90,0,879580800,Ukraine,eu,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,3,30,0,0,0,90,0,90,0,-1,-1,-1,3,1755277200,
4119,14956,Daley Blind,Daley,Blind,Daley Blind,daley-blind,35,180,72,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/daley-blind,312,-1,Defender,0,0,0,636969600,Netherlands,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755277200,
84439,14956,Ladislav Krejčí,Ladislav,Krejčí,Ladislav Krejčí,ladislav-krejci,26,175,70,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/czech-republic/ladislav-krejci,312,-1,Midfielder,90,90,0,924591600,Czech Republic,eu,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,30,0,0,0,90,0,0,0,-1,-1,-1,4,1755277200,
465416,14956,David López Silva,David,López Silva,David López,david-lopez,35,185,81,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/david-lopez,312,-1,Defender,90,90,0,623919600,Spain,eu,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,30,0,0,0,90,0,0,0,-1,-1,-1,5,1755277200,
158631,14956,Bojan Miovski,Bojan,Miovski,Bojan Miovski,bojan-miovski,26,188,83,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/fyr-macedonia/bojan-miovski,312,-1,Forward,0,0,0,930207600,FYR Macedonia,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755277200,
39066,14956,Yangel Clemente Herrera Ravelo,Yangel Clemente,Herrera Ravelo,Yangel Herrera,yangel-herrera,27,184,78,La Liga,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/venezuela/yangel-herrera,312,-1,Midfielder,0,0,0,884160000,Venezuela,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755277200,
