id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
590949,15115,Rafael Alexandre de Sousa Gancho de Brito,Rafael Alexandre,de Sousa Gancho de Brito,Rafael Brito,rafael-brito,23,180,63,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/rafael-brito,4810,-1,Midfielder,90,0,90,1011427200,Portugal,eu,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,0,0,1,1,0,45,90,0,1,-1,-1,-1,3,1754680500,
129660,15115,Gaizka Larrazabal Goikoetxea,Gaizka,Larrazabal Goikoetxea,Gaizka Larrazabal Goikoetxea,gaizka-larrazabal-goikoetxea,27,180,81,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/gaizka-larrazabal-goikoetxea,4810,-1,Midfielder,0,0,0,882345600,Spain,eu,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1755269100,
25952,15115,Cassiano Dias Moreira,Cassiano,Dias Moreira,Cassiano Dias Moreira,cassiano-dias-moreira,36,184,75,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/brazil/cassiano-dias-moreira,4810,-1,Forward,90,90,0,613983600,Brazil,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,2,45,1,1,0,45,90,0,1,-1,-1,-1,12,1755269100,
613366,15115,Kelian Nsona Wa Saka,Kelian Nsona,Wa Saka,Kelian Nsona Wa Saka,kelian-nsona-wa-saka,23,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/kelian-nsona-wa-saka,4810,-1,Forward,0,0,0,1021100400,France,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754680500,
806933,15115,Fahem Benaissa-Yahia,Fahem,Benaissa-Yahia,Fahem Benaissa-Yahia,fahem-benaissa-yahia,23,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/fahem-benaissa-yahia,4810,-1,Midfielder,90,0,90,1020063600,France,eu,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,0,0,0,0,0,45,0,0,0,-1,-1,-1,19,1755269100,
196652,15115,Yassin Oukili,Yassin,Oukili,Yassin Oukili,yassin-oukili,0,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/yassin-oukili,4810,-1,Midfielder,90,90,0,0,Netherlands,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,2,45,0,0,0,45,0,0,0,-1,-1,-1,18,1755269100,
160070,15115,Duplex Tchamba Bangou,Duplex Tchamba,Bangou,Duplex Tchamba Bangou,duplex-tchamba-bangou,27,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/cameroon/duplex-tchamba-bangou,4810,-1,Defender,180,90,90,900054000,Cameroon,eu,2,1,1,1,0,1,0,1,1,2,2,0,0,0,0,0,0,-1,0.5,0,0.5,50,0,1,180,1,90,1,1,0,90,180,0,0.5,-1,-1,-1,2,1755269100,
648449,15115,João Pedro Goulart Silva,João Pedro,Goulart Silva,João Pedro Goulart Silva,joao-pedro-goulart-silva,25,191,81,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/joao-pedro-goulart-silva,4810,-1,Defender,90,0,90,948960000,Portugal,eu,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,0,0,1,1,0,45,90,0,1,-1,-1,-1,17,1755269100,
17185,15115,Jérémy Livolant,Jérémy,Livolant,Jérémy Livolant,jeremy-livolant,27,175,70,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/jeremy-livolant,4810,-1,Midfielder,180,90,90,884332800,France,eu,2,1,1,0,0,0,0,1,1,2,2,0,1,0,1,0,0,-1,0.5,0.5,0,50,0,0,0,1,90,1,1,0,90,180,180,0.5,-1,-1,-1,16,1755269100,
461790,15115,José Miguel da Rocha Fonte,José Miguel,da Rocha Fonte,Jose Fonte,jose-fonte,41,187,81,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/jose-fonte,4810,-1,Defender,180,90,90,440928000,Portugal,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,15,1755269100,
129716,15115,Patrick Gilmar Sequeira Mejías,Patrick Gilmar,Sequeira Mejías,Patrick Gilmar Sequeira Mejías,patrick-gilmar-sequeira-mejias,26,190,70,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/costa-rica/patrick-gilmar-sequeira-mejias,4810,-1,Goalkeeper,180,90,90,920275200,Costa Rica,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,14,1755269100,
902151,15115,Domingos José Gabriel Bandeira,Domingos José Gabriel,Bandeira,Domingos José Gabriel Bandeira,domingos-jose-gabriel-bandeira,21,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/angola/domingos-jose-gabriel-bandeira,4810,-1,Defender,90,90,0,1069920000,Angola,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,45,0,0,0,90,0,0,0,-1,-1,-1,13,0,
131806,15115,Miguel Ferreira de Sousa,Miguel,Ferreira de Sousa,Miguel Sousa,miguel-sousa,26,162,48,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/miguel-sousa,4810,-1,Midfielder,180,90,90,906188400,Portugal,eu,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,11,0,
5070,15115,André Geraldes de Barros,André,Geraldes de Barros,André Geraldes de Barros,andre-geraldes-de-barros,34,181,70,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/andre-geraldes-de-barros,4810,-1,Defender,180,90,90,673167600,Portugal,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,4,0,
693973,15115,Max Svensson Río,Max,Svensson Río,Max Svensson Río,max-svensson-rio,23,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/max-svensson-rio,4810,-1,Forward,180,90,90,1005206400,Spain,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,1,90,1,1,0,90,180,0,0.5,-1,-1,-1,10,0,
951479,15115,Renato Sam Na Nhaga,Renato Sam Na,Nhaga,Renato Sam Na Nhaga,renato-sam-na-nhaga,18,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/guinea-bissau/renato-sam-na-nhaga,4810,-1,Midfielder,180,90,90,1174978800,Guinea-Bissau,eu,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,1,1,0,90,180,0,0.5,-1,-1,-1,9,0,
194060,15115,Kaique Rocha Lima,Kaique,Rocha Lima,Kaique Rocha Lima,kaique-rocha-lima,24,195,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/brazil/kaique-rocha-lima,4810,-1,Defender,180,90,90,983347200,Brazil,eu,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,8,0,
147901,15115,Daniel Grilo Azevedo,Daniel,Grilo Azevedo,Daniel Grilo Azevedo,daniel-grilo-azevedo,27,195,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/daniel-grilo-azevedo,4810,-1,Goalkeeper,180,90,90,887270400,Portugal,eu,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,90,0,0,0,90,0,0,0,-1,-1,-1,7,0,
730217,15115,Iyad Mohamed,Iyad,Mohamed,Iyad Mohamed,iyad-mohamed,24,191,83,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/iyad-mohamed,4810,-1,Midfielder,90,90,0,983779200,France,eu,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,-1,0,0,0,50,0,0,0,2,45,1,1,0,45,90,0,1,-1,-1,-1,6,1755269100,
761162,15115,Oluwakorede David Osundina,Oluwakorede David,Osundina,Oluwakorede David Osundina,oluwakorede-david-osundina,21,180,75,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/usa/oluwakorede-david-osundina,4810,-1,Forward,90,90,0,1076659200,USA,eu,2,1,1,1,0,1,0,1,1,2,2,0,0,0,0,0,0,-1,1,0,1,50,0,0,90,2,45,0,0,0,45,0,0,0,-1,-1,-1,1,1755269100,
151737,15115,Maximiliano Javier Araújo Vilches,Maximiliano Javier,Araújo Vilches,Maximiliano Javier Araújo Vilches,maximiliano-javier-araujo-vilches,25,179,73,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/uruguay/maximiliano-javier-araujo-vilches,114,-1,Midfielder,0,0,0,950601600,Uruguay,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754680500,
789714,15115,Ousmane Diomande,Ousmane,Diomande,Ousmane Diomande,ousmane-diomande,21,0,0,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/ivory-coast/ousmane-diomande,114,-1,Defender,0,0,0,1070524800,Ivory Coast,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754680500,
181041,15115,Morten Due Hjulmand,Morten,Due Hjulmand,Morten Hjulmand,morten-hjulmand,26,185,73,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/denmark/morten-hjulmand,114,-1,Midfielder,90,0,90,930294000,Denmark,eu,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,-1,1,0,1,100,0,1,90,0,0,0,0,0,90,0,0,0,-1,-1,-1,1,1754680500,
39735,15115,Francisco António Machado Mota Castro Trincão,Francisco António,Machado Mota Castro Trincão,Francisco Trincão,francisco-trincao,25,183,77,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/francisco-trincao,114,-1,Forward,90,0,90,946454400,Portugal,eu,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,-1,2,1,1,100,0,1,90,0,0,0,0,0,90,0,90,0,-1,-1,-1,2,1754680500,
202608,15115,Geny Cipriano Catamo,Geny,Cipriano Catamo,Geny Catamo,geny-catamo,24,172,62,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/mozambique/geny-catamo,114,-1,Midfielder,0,0,0,980496000,Mozambique,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754680500,
670380,15115,Gonçalo Bernardo Inácio,Gonçalo Bernardo,Inácio,Gonçalo Inácio,goncalo-inacio,23,186,77,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/goncalo-inacio,114,-1,Defender,90,0,90,998722800,Portugal,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,3,1754680500,
76846,15115,Luis Javier Suárez Charris,Luis Javier,Suárez Charris,Luis Suárez,luis-suarez,27,185,74,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/colombia/luis-suarez,114,-1,Forward,90,0,90,881049600,Colombia,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,4,1754680500,
148455,15115,Hidemasa Morita,Hidemasa,Morita,Hidemasa Morita,hidemasa-morita,30,177,74,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/japan/hidemasa-morita,114,-1,Midfielder,0,0,0,800089200,Japan,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1754680500,
752261,15115,Iván Fresneda Corraliza,Iván,Fresneda Corraliza,Iván Fresneda,ivan-fresneda,20,182,70,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/spain/ivan-fresneda,114,-1,Defender,90,0,90,1096354800,Spain,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,5,1754680500,
142951,15115,Pedro António Pereira Gonçalves,Pedro António,Pereira Gonçalves,Pedro Gonçalves,pedro-goncalves,27,173,65,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/pedro-goncalves,114,-1,Midfielder,0,0,0,899017200,Portugal,eu,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-1,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1754680500,
5204,15115,Rui Tiago Dantas da Silva,Rui Tiago,Dantas da Silva,Rui Silva,rui-silva,31,191,91,Liga NOS,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/portugal/rui-silva,114,-1,Goalkeeper,90,0,90,760608000,Portugal,eu,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,6,1754680500,
