id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,national_team_id,url,club_team_id,club_team_2_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp,detailed
635852,15050,Florian Wirtz,Florian,Wirtz,Florian Wirtz,florian-wirtz,22,177,0,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/germany/florian-wirtz,151,-1,Midfielder,0,0,0,1051945200,Germany,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755284400,
19532,15050,Ibrahima Konaté,Ibrahima,Konaté,Ibrahima Konaté,ibrahima-konate,26,194,93,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/ibrahima-konate,151,-1,Defender,90,90,0,927615600,France,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,45,0,0,0,90,0,0,0,-1,-1,-1,3,1755284400,
597458,15050,Hugo Ekitike,Hugo,Ekitike,Hugo Ekitike,hugo-ekitike,23,189,75,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/france/hugo-ekitike,151,-1,Forward,0,0,0,1024556400,France,eu,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755284400,
464624,15050,Alisson Ramsés Becker,Alisson Ramsés,Becker,Alisson Becker,alisson-becker,32,193,91,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/brazil/alisson-becker,151,-1,Goalkeeper,90,90,0,718009200,Brazil,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,45,0,0,0,90,0,0,0,-1,-1,-1,4,1755284400,
464988,15050,Mohamed Salah Hamed Mahrous Ghaly,Mohamed,Salah Hamed Mahrous Ghaly,Mohamed Salah,mohamed-salah,33,175,71,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/egypt/mohamed-salah,151,-1,Forward,90,90,0,708591600,Egypt,eu,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,-1,1,0,1,0,1,0,90,2,45,0,0,0,90,0,0,0,-1,-1,-1,1,1755284400,
15637,15050,Cody Mathès Gakpo,Cody Mathès,Gakpo,Cody Gakpo,cody-gakpo,26,193,76,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/netherlands/cody-gakpo,151,-1,Forward,90,90,0,926060400,Netherlands,eu,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,-1,1,0,1,0,1,0,90,2,45,0,0,0,90,0,0,0,-1,-1,-1,2,1755284400,
120039,15050,Jeremie Frimpong,Jeremie,Frimpong,Jeremie Frimpong,jeremie-frimpong,24,172,0,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/england/jeremie-frimpong,151,-1,Midfielder,0,0,0,976435200,England,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755284400,
737736,15050,Milos Kerkez,Milos,Kerkez,Milos Kerkez,milos-kerkez,21,176,68,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/hungary/milos-kerkez,151,-1,Defender,0,0,0,1068192000,Hungary,eu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,-1,1755284400,
30165,15050,Alexis Mac Allister,Alexis,Mac Allister,Alexis Mac Allister,alexis-mac-allister,26,176,72,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/argentina/alexis-mac-allister,151,-1,Midfielder,0,0,0,914486400,Argentina,eu,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1755284400,
40661,15050,Dominik Szoboszlai,Dominik,Szoboszlai,Dominik Szoboszlai,dominik-szoboszlai,24,187,74,Premier League,Domestic League,2025/2026,2025,2026,0,https://footystats.org/players/hungary/dominik-szoboszlai,151,-1,Midfielder,90,90,0,972457200,Hungary,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,45,0,0,0,90,0,0,0,-1,-1,-1,5,1755284400,
