league_name,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,league,league_type,url,season,continent,starting_year,ending_year,birthday,nationality,appearances_overall,wins_home,wins_away,draws_overall,wins_per_home,wins_per_away,draws_per,btts_overall,btts_percentage,goals_overall,goals_home,goals_away,goals_per_match_overall,goals_per_match_home,goals_per_match_away,penalties_given_overall,penalties_given_home,penalties_given_away,penalties_given_per_match_overall,penalties_given_per_match_home,penalties_given_per_match_away,penalties_given_percentage_overall,penalties_given_percentage_home,penalties_given_percentage_away,cards_overall,cards_home,cards_away,cards_per_match_overall,cards_per_match_home,cards_per_match_away,over05_cards_overall,over15_cards_overall,over25_cards_overall,over35_cards_overall,over45_cards_overall,over55_cards_overall,over65_cards_overall,over05_cards_per_match_overall,over15_cards_per_match_overall,over25_cards_per_match_overall,over35_cards_per_match_overall,over45_cards_per_match_overall,over55_cards_per_match_overall,over65_cards_per_match_overall,over05_cards_percentage_overall,over15_cards_percentage_overall,over25_cards_percentage_overall,over35_cards_percentage_overall,over45_cards_percentage_overall,over55_cards_percentage_overall,over65_cards_percentage_overall,yellow_cards_overall,red_cards_overall,min_per_goal_overall,min_per_card_overall
J1 League,3206,13960,Hiroyuki Kimura,Hiroyuki,Kimura,Hiroyuki Kimura,hiroyuki-kimura,43,J1 League,Domestic League,https://footystats.org/referees/japan-r-hiroyuki-kimura,2025,as,2025,2025,381196800,Japan,11,3,3,5,27,27,45,8,73,37,19,18,3.36,1.73,1.64,3,2,1,0.27,0.18,0.09,27,18,9,24,13,11,2.18,1.18,1,10,6,4,3,1,0,0,0.91,0.55,0.36,0.27,0.09,0,0,91,55,36,27,9,0,0,24,0,27,41
J1 League,3184,13960,Koichiro Fukushima,Koichiro,Fukushima,Koichiro Fukushima,koichiro-fukushima,41,J1 League,Domestic League,https://footystats.org/referees/japan-r-koichiro-fukushima,2025,as,2025,2025,440726400,Japan,9,3,3,3,33,33,33,4,44,18,9,9,2,1,1,2,1,1,0.22,0.11,0.11,22,11,11,13,8,5,1.44,0.89,0.56,7,3,2,1,0,0,0,0.78,0.33,0.22,0.11,0,0,0,78,33,22,11,0,0,0,11,1,45,62
J1 League,4414,13960,Atsushi Kamimura,Atsushi,Kamimura,Atsushi Kamimura,atsushi-kamimura,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-atsushi-kamimura,2025,as,2025,2025,0,Japan,6,1,1,4,17,17,67,3,50,10,5,5,1.67,0.83,0.83,1,1,0,0.17,0.17,0,17,17,0,17,9,8,2.83,1.5,1.33,6,5,3,1,1,1,0,1,0.83,0.5,0.17,0.17,0.17,0,100,83,50,17,17,17,0,15,1,54,32
J1 League,4399,13960,Yusuke Araki,Yusuke,Araki,Yusuke Araki,yusuke-araki,39,J1 League,Domestic League,https://footystats.org/referees/japan-r-yusuke-araki,2025,as,2025,2025,515376000,Japan,5,3,0,2,60,0,40,1,20,7,6,1,1.4,1.2,0.2,1,1,0,0.2,0.2,0,20,20,0,18,6,12,3.6,1.2,2.4,5,5,3,3,1,1,0,1,1,0.6,0.6,0.2,0.2,0,100,100,60,60,20,20,0,18,0,64,25
J1 League,49860,13960,Takafumi Mikuriya,Takafumi,Mikuriya,Takafumi Mikuriya,takafumi-mikuriya,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-takafumi-mikuriya,2025,as,2025,2025,0,Japan,11,5,3,3,45,27,27,8,73,31,17,14,2.82,1.55,1.27,4,1,3,0.36,0.09,0.27,36,9,27,20,8,12,1.82,0.73,1.09,11,7,2,0,0,0,0,1,0.64,0.18,0,0,0,0,100,64,18,0,0,0,0,20,0,32,50
J1 League,4412,13960,Koei Koya,Koei,Koya,Koei Koya,koei-koya,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-koei-koya,2025,as,2025,2025,0,Japan,8,2,4,2,25,50,25,4,50,14,6,8,1.75,0.75,1,1,1,0,0.13,0.13,0,13,13,0,20,10,10,2.5,1.25,1.25,8,7,3,2,0,0,0,1,0.88,0.38,0.25,0,0,0,100,88,38,25,0,0,0,19,1,51,36
J1 League,59361,13960,Takasaki Voyage,Takasaki,Voyage,Takasaki Voyage,takasaki-voyage,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-takasaki-voyage,2025,as,2025,2025,0,Japan,8,4,2,2,50,25,25,3,38,17,12,5,2.13,1.5,0.63,0,0,0,0,0,0,0,0,0,21,11,10,2.63,1.38,1.25,7,5,5,3,1,0,0,0.88,0.63,0.63,0.38,0.13,0,0,88,63,63,38,13,0,0,19,1,42,34
J1 League,4373,13960,Masuya Ueda,Masuya,Ueda,Masuya Ueda,masuya-ueda,42,J1 League,Domestic League,https://footystats.org/referees/japan-r-masuya-ueda,2025,as,2025,2025,406425600,Japan,10,4,4,2,40,40,20,6,60,28,14,14,2.8,1.4,1.4,3,1,2,0.3,0.1,0.2,30,10,20,28,9,19,2.8,0.9,1.9,9,9,5,2,2,1,0,0.9,0.9,0.5,0.2,0.2,0.1,0,90,90,50,20,20,10,0,27,1,32,32
J1 League,4443,13960,Futoshi Nakamura,Futoshi,Nakamura,Futoshi Nakamura,futoshi-nakamura,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-futoshi-nakamura,2025,as,2025,2025,0,Japan,11,4,6,1,36,55,9,6,55,25,12,13,2.27,1.09,1.18,1,1,0,0.09,0.09,0,9,9,0,28,18,10,2.55,1.64,0.91,10,9,5,2,2,0,0,0.91,0.82,0.45,0.18,0.18,0,0,91,82,45,18,18,0,0,27,1,40,35
J1 League,3193,13960,Yudai Yamamoto,Yudai,Yamamoto,Yudai Yamamoto,yudai-yamamoto,0,J1 League,Domestic League,https://footystats.org/referees/japan-r-yudai-yamamoto,2025,as,2025,2025,0,Japan,10,4,4,2,40,40,20,4,40,19,9,10,1.9,0.9,1,3,0,3,0.3,0,0.3,30,0,30,31,12,19,3.1,1.2,1.9,10,8,7,3,2,1,0,1,0.8,0.7,0.3,0.2,0.1,0,100,80,70,30,20,10,0,31,0,47,29
